,state,column,totalInfluence,absTotal
0,NewYork,AverageSurfaceAirPressure_14d_Lag > 28.00,7.550400974947389,7.550400974947389
1,NewYork,AverageSurfaceAirPressure_35d_Lag > 28.00,4.502223895223502,4.502223895223502
3,NewYork,AverageSurfaceAirPressure_28d_Lag > 28.00,-3.7501963144404566,3.7501963144404566
2,NewYork,OxCGRT_Policy_C2_WorkplaceClosing_28d_Lag <= 2.00,-2.3346659295653627,2.3346659295653627
4,NewYork,OxCGRT_Policy_C2_WorkplaceClosing_21d_Lag <= 2.00,1.1924801481935243,1.1924801481935243
8,NewYork,AverageDewPoint_28d_Lag <= 48.00,0.8754130332989682,0.8754130332989682
5,NewYork,OxCGRT_Policy_C4_RestrictionsOnGatherings_35d_Lag > 3.00,-0.8104565529580638,0.8104565529580638
9,NewYork,AverageSurfaceAirPressure_21d_Lag > 28.00,0.4404876743046227,0.4404876743046227
7,NewYork,AverageDewPoint_14d_Lag > 59.00,0.40607316170547897,0.40607316170547897
12,NewYork,1.00 < OxCGRT_Policy_C3_CancelPublicEvents_14d_Lag <= 2.00,-0.3358763145090701,0.3358763145090701
14,NewYork,AverageRelativeHumidity_14d_Lag > 78.00,-0.2945587021405498,0.2945587021405498
34,NewYork,AverageWindSpeed_14d_Lag <= 2.00,0.22292239664432578,0.22292239664432578
37,NewYork,AverageWindSpeed_21d_Lag > 5.00,0.21759038172181305,0.21759038172181305
38,NewYork,Visited_Pennsylvania_21d_Lag > 0.00,0.2163666752753534,0.2163666752753534
36,NewYork,2.00 < AverageWindSpeed_35d_Lag <= 3.00,0.2151667819757779,0.2151667819757779
35,NewYork,1.00 < OxCGRT_Policy_C3_CancelPublicEvents_21d_Lag <= 2.00,0.21319535292860203,0.21319535292860203
33,NewYork,0.00 < AverageWindGustSpeed_35d_Lag <= 2.00,0.20902748053167286,0.20902748053167286
39,NewYork,Visited_NewJersey_28d_Lag > 0.00,0.20167927845508335,0.20167927845508335
31,NewYork,59.00 < AverageDailyTemperature_28d_Lag <= 66.00,0.19992939407608146,0.19992939407608146
32,NewYork,49.00 < AverageDewPoint_35d_Lag <= 57.00,0.19916202312101483,0.19916202312101483
41,NewYork,Visited_Pennsylvania_28d_Lag > 0.00,0.19193273456607593,0.19193273456607593
