,state,column,totalInfluence,absTotal,scaledInfluence,featureName,effectsLagDays,featureValue,simuFlag,version,group
0,NewYork,AverageSurfaceAirPressure_14d_Lag > 28.00,7.550400974947388,7.550400974947388,100.0,AverageSurfaceAirPressure,14,>28.00,0,lime_actual_120,Not controlable
1,NewYork,AverageSurfaceAirPressure_35d_Lag > 28.00,4.502223895223502,4.502223895223502,59.62893772346804,AverageSurfaceAirPressure,35,>28.00,0,lime_actual_120,Not controlable
2,NewYork,AverageSurfaceAirPressure_28d_Lag > 28.00,-3.7501963144404566,3.7501963144404566,-49.668836488072586,AverageSurfaceAirPressure,28,>28.00,0,lime_actual_120,Not controlable
3,NewYork,OxCGRT_Policy_C2_WorkplaceClosing_28d_Lag <= 2.00,-2.3346659295653627,2.3346659295653627,-30.921085347810028,OxCGRT_Policy_C2_WorkplaceClosing,28,<=2.00,1,lime_actual_120,Policymaker controlable
4,NewYork,OxCGRT_Policy_C2_WorkplaceClosing_21d_Lag <= 2.00,1.1924801481935243,1.1924801481935243,15.793600262426244,OxCGRT_Policy_C2_WorkplaceClosing,21,<=2.00,1,lime_actual_120,Policymaker controlable
5,NewYork,AverageDewPoint_28d_Lag <= 48.00,0.8754130332989682,0.8754130332989682,11.594258850670752,AverageDewPoint,28,<=48.00,0,lime_actual_120,Not controlable
6,NewYork,OxCGRT_Policy_C4_RestrictionsOnGatherings_35d_Lag > 3.00,-0.8104565529580638,0.8104565529580638,-10.733953807846756,OxCGRT_Policy_C4_RestrictionsOnGatherings,35,>3.00,1,lime_actual_120,Policymaker controlable
7,NewYork,AverageSurfaceAirPressure_21d_Lag > 28.00,0.4404876743046227,0.4404876743046227,5.833963994312131,AverageSurfaceAirPressure,21,>28.00,0,lime_actual_120,Not controlable
8,NewYork,AverageDewPoint_14d_Lag > 59.00,0.40607316170547897,0.40607316170547897,5.378166842434597,AverageDewPoint,14,>59.00,0,lime_actual_120,Not controlable
9,NewYork,1.00 < OxCGRT_Policy_C3_CancelPublicEvents_14d_Lag <= 2.00,-0.3358763145090701,0.3358763145090701,-4.44845665314365,OxCGRT_Policy_C3_CancelPublicEvents,14,1.00< & <=2.00,1,lime_actual_120,Policymaker controlable
10,NewYork,AverageRelativeHumidity_14d_Lag > 78.00,-0.2945587021405498,0.2945587021405498,-3.9012325718582423,AverageRelativeHumidity,14,>78.00,0,lime_actual_120,Not controlable
11,NewYork,AverageWindSpeed_14d_Lag <= 2.00,0.22292239664432575,0.22292239664432575,2.9524577222321504,AverageWindSpeed,14,<=2.00,0,lime_actual_120,Not controlable
12,NewYork,AverageWindSpeed_21d_Lag > 5.00,0.21759038172181305,0.21759038172181305,2.8818387585479095,AverageWindSpeed,21,>5.00,0,lime_actual_120,Not controlable
14,NewYork,2.00 < AverageWindSpeed_35d_Lag <= 3.00,0.2151667819757779,0.2151667819757779,2.8497398044118736,AverageWindSpeed,35,2.00< & <=3.00,0,lime_actual_120,Not controlable
15,NewYork,1.00 < OxCGRT_Policy_C3_CancelPublicEvents_21d_Lag <= 2.00,0.21319535292860206,0.21319535292860206,2.823629548099432,OxCGRT_Policy_C3_CancelPublicEvents,21,1.00< & <=2.00,1,lime_actual_120,Policymaker controlable
16,NewYork,0.00 < AverageWindGustSpeed_35d_Lag <= 2.00,0.2090274805316729,0.2090274805316729,2.7684288718604035,AverageWindGustSpeed,35,0.00< & <=2.00,0,lime_actual_120,Not controlable
18,NewYork,59.00 < AverageDailyTemperature_28d_Lag <= 66.00,0.19992939407608146,0.19992939407608146,2.6479308150581313,AverageDailyTemperature,28,59.00< & <=66.00,0,lime_actual_120,Not controlable
19,NewYork,49.00 < AverageDewPoint_35d_Lag <= 57.00,0.19916202312101486,0.19916202312101486,2.6377675011147685,AverageDewPoint,35,49.00< & <=57.00,0,lime_actual_120,Not controlable
22,NewYork,OxCGRT_Policy_C4_RestrictionsOnGatherings_28d_Lag > 3.00,0.1602215002216082,0.1602215002216082,2.122026376522667,OxCGRT_Policy_C4_RestrictionsOnGatherings,28,>3.00,1,lime_actual_120,Policymaker controlable
23,NewYork,0.00 < CDS_Tested_dailyNewCases <= 67073.00,0.15893349438758653,0.15893349438758653,2.1049676025807886,CDS_Tested_dailyNewCases,0,0.00< & <=67073.00,1,lime_actual_120,Policymaker controlable
24,NewYork,AverageDailyTemperature_21d_Lag > 70.00,-0.15361997399019087,0.15361997399019087,-2.034593586485138,AverageDailyTemperature,21,>70.00,0,lime_actual_120,Not controlable
26,NewYork,65.00 < AverageDailyTemperature_14d_Lag <= 70.00,0.149877289880612,0.149877289880612,1.985024244115146,AverageDailyTemperature,14,65.00< & <=70.00,0,lime_actual_120,Not controlable
28,NewYork,1.00 < OxCGRT_Policy_C3_CancelPublicEvents_28d_Lag <= 2.00,0.13447485953594362,0.13447485953594362,1.781029378203065,OxCGRT_Policy_C3_CancelPublicEvents,28,1.00< & <=2.00,0,lime_actual_120,Policymaker controlable
